,Minister,state,MPLAD_District,CSR District,ministries
0,Arun Jaitley,Gujarat,Nadiad,Kheda,"[21,16,19]"
1,Piyush Goyal,Maharashtra,Mumbai City,Mumbai City,"[18,38,10]"
2,Nirmala Sitharaman,Andhra Pradesh,West Godavari,West Godavari,[43]
3,Prakash Javadekar,Madhya Pradesh,Chhindwara,Chhindwara,[48]
4,Venkaiah Naidu,Karnataka,Bengalore Urban,Bangalore Urban,"[35,45]"
5,Smriti Irani,Gujarat,Anand,Anand,[7]
6,Suresh Prabhu,Haryana,Rohtak,Rohtak,[50]
7,Ravi Shankar Prasad,Bihar,Patna,Patna,[32]
8,Najma A. Heptulla,Madhya Pradesh,Bhopal,Bhopal,[47]
9,Mukhtar Abbas Naqvi,Uttar Pradesh,Jyotiba Pholenagar,Amroha,"[45,47]"
10,Thawar Chand Gehlot,Madhya Pradesh,Ujjain,Ujjain,[1]
11,Jagat Prakash Nadda,Himachal Pradesh,Bilaspur,Bilaspur,[46]
12,Dharmendra Pradhan,Bihar,Patna,Patna,[30]
13,Hardeep Singh Puri,,,,
14,Alphons Kannanthanam,,,,
15,Vijay Goel,Rajasthan,Jaipur,Jaipur,
16,Ramdas Athawale,Maharashtra,Mumbai Sub Urban,Mumbai Suburban,
17,Parshottam Rupala,,,,
18,Shiv Pratap Shukla,,,,
19,M. J. Akbar,,,,
20,Y. S. Chowdary,Andhra Pradesh,Krishna,Krishna,"[6,23]"
